"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,190.13231,"P","Provisional value"
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,313.174967,"P","Provisional value"
"ESP","Spain","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,-5350,"P","Provisional value"
"ESP","Spain","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,-4715,"P","Provisional value"
"ESP","Spain","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,-7287,"P","Provisional value"
"ESP","Spain","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,-11024,"P","Provisional value"
"ESP","Spain","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,-5528,"P","Provisional value"
"ESP","Spain","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,-7233,"P","Provisional value"
"ESP","Spain","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,-7073,"P","Provisional value"
"ESP","Spain","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,-7109,"P","Provisional value"
"ESP","Spain","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,-6964,"P","Provisional value"
